title,bedrooms,price,location,post_time
"Luxury 1 BR(800sf),$2078,Hardwd,W/D,Terr,Dwntwn",1br,2078,stamford,5h ago
HUGE 4 bed 1 bath apt in Flatbush,4br,3200,flatbush,5h ago
Sunkissed 3 bed 1 bath apt in Gowanus March 1 move in,3br,4400,gowanus,5h ago
Spacious 2 bed 2 bath apt in Prime Bedstuy * 1 month free*,2br,3400,bedstuy,5h ago
🔑Pack your bags and move right in to this 💎RAD 4BR / 2BA💎 No Fee!🔑,4br,3600,"bed-stuy @ a,c,g trains",5h ago
"1 Bed / 1 Bath Dishwasher, Elevator, Gym, Roof Deck, Laundry, Garage",1br,2950,williamsburg,5h ago
"Huge 3 bed , prime williamsburg , open house today",3br,3800,williamsburg,5h ago
Beautiful 3 bedroom semi box,3br,2600,glendale,5h ago
Large 1 Bed/1 Bath w/ Private Balcony | 1 Block from J Train,1br,2500,bedstuy | bushwick | brooklyn,5h ago
"2Bed/1Bath - AC, Laundry, Roof Access, Dishwasher, Garage",2br,3799,bushwick,5h ago
Large 1 Bed/1 Bath w/ Private Balcony | 1 Block from J Train,1br,2500,bedstuy | bushwick | brooklyn,5h ago
"4 Equal to Size Bedrooms, SKYLIGHTS, 5 Blocks from Dekalb L Train",4br,3650,"ridgewood, queens",5h ago
1 bedroom apartment. NO FEE,1br,2995,midtown west,5h ago
"Luxury 1 BR(800sf),$2118,Hardwd,W/D,Terr,Dwntwn",1br,2118,stamford,5h ago
Stellar corner loft in the heart of Bushwick. No fee!,,2950,bushwick,5h ago
**SPACIOUS CROWN HEIGHTS**2.5 BED/1 BATH**PRIVATE TERRACE**,2br,2800,crown heights,5h ago
NO FEE Luxury Fidi Studio w/ South-Facing City Views &Granite Kitchen!,studio,3069,financial district,5h ago
"1Bed/1Bath - AC, Laundry, Roof access, Dishwasher, Bike Storage",1br,2741,bushwick,5h ago
One bedroom UES $2700,1br,2700,upper east side,5h ago
Fully renovated 3 bedroom in Glendale,3br,2700,ridgewood,5h ago
2 bed 1 bath prime bushwick NO FEE,2br,2900,brooklyn,5h ago
MASSIVE 2 BEDROOM IN CROWNHEIGHTS,2br,2650,crownheights,5h ago
Brand new studio Prime bushwick NO FEE,1br,2860,brooklyn,5h ago
Luxury Apartment in Flatbush,1br,2495,flatbush,5h ago
"Equal Sized 3 Bedroom, Massive Living Space, Dekalb L 3 Blocks away",3br,3500,"bushwick, brooklyn",5h ago
Luxury 1 Bed with Balcony & Open Kitchen in Downtown Brooklyn!,1br,3950,downtown brooklyn,5h ago
**DOWNTOWN BROOKLYN**3 BEDROOM/2 BATH**LAUNDRY**ROOF DECK,3br,5750,downtown brooklyn,5h ago
Luxury East-Facing Studio w/ Stainless Steel Appliances in FiDi!,studio,3290,financial district,5h ago
"No Fee 20-25 Minutes into the City, Large 3 Bed, Prime Buashwick",3br,3400,"bushwick, brooklyn",5h ago
4 bed 3 bath Massive duplex in Prim bushwick with private backyard !,4br,5000,brooklyn,5h ago
"✨ PERFECT ""TRUE 2 BR."" 💁‍♀️🙆‍♂️ / + BALCONY / 📍LENOX HILL",2br,3150,upper east side,5h ago
SUPER BRIGHT 3 BEDROOM IN PRIME CROWNHEIGHTS,3br,2750,crownheights,5h ago
Furnished One Bedroom Apartment,1br,1600,white plains,5h ago
NEWLY RENOVATED LARGE 2 BEDROOM IN BUSHWICK WITH W/D IN UNIT !,2br,2700,bushwick,5h ago
NO-FEE Modern 1 Bed with Granite Kitchen and Dishwasher in Kips Bay!,1br,3925,kips bay,6h ago
"Prime Bushwick,  3 Bedroom Sun Drenched Bedrooms",3br,3500,bushwick,6h ago
3 Bed /1 Bath Apartment in Excellent Location!,3br,3100,crown heights,6h ago
🌟Gorgeous Crown Heights 1 Bed! Chipotle down the street! $2300,1br,2300,crown heights,6h ago
1.5 bath Dekalb L Seneca M (NO FEE),3br,3675,ridgewood,6h ago
🌟 Brand New 2 Bed unit by Brooklyn College! Laundry in-Unit! $2500,2br,2500,flatbush,6h ago
🌟 Bright Crown Heights 3 Bedroom Apartment! $2800,3br,2795,crown heights,6h ago
🌟Prospect Heights 3 Bed 1.5 Bath! $3650!,3br,3650,prospect heights,6h ago
"PATHWAY TO AN ""ULTRA COOL"" SPACIOUS STUDIO-PRIVA GARDEN-W/D UNIT-FP-DW",studio,3995,greenwich village,6h ago
“LOW FEE” MINT 3BR-SPACIOUS LIVING RM-QN SZ BRS-SS-DW-AC-UNION SQ PARK,3br,4850,gramercy,6h ago
1 Bedroom Apartment Wakefield Area,1br,1650,bronx,6h ago
"Prewar 2BR, Elevator/Laundry; Shares/Couple; Kensington Prospect Park",2br,2500,kensington,6h ago
2 Bedroom Rental in Elmont - Must See,2br,2900,elmont,6h ago
Valley Stream 2 bedroom apt for a single or couple,2br,1500,north valley stream,6h ago
$1600 sudio apartment all utlities included,1br,1600,bronx,6h ago
Yonkers 1 Bedroom Apartment Ludlow Area,1br,1400,westchester,6h ago
East Village Apartment for Rent,2br,4695,east village,6h ago
2 BEDROOM SUNSET PARK,2br,1850,sunset park,6h ago
"Large 2 Bdrm, Dinning area, wood flrs thruout",2br,2500,canarsie / east 80's,6h ago
STUDIO APARTMENT,1br,1200,jersey city,6h ago
**APARTMENT FOR RENT IN FOREST HILLS**,1br,1700,forest hills,6h ago
**STUNNING 3 BED/ 2 BATH APT IN PLG STEPS FROM PROSPECT PARK*NO FEE**,3br,3350,prospect lefferts gardens,6h ago
"Large 2 bedrooms apt,quiet area,utilites included!",2br,1700,pelham gardens(astor av),6h ago
"Luxury 1 BR(800sf),$2118,Hardwd,W/D,Terr,Dwntwn",1br,2118,stamford,6h ago
LUXURY 2 BEDROOM**GYM**ELEVATOR**ROOFTOP**LOUNDRY**NO FEE,2br,2550,east flatbush,6h ago
"Harborpoint Special Modern 1 BR,$2100,Hardwd,W/D,Terr,Dwntwn",1br,2100,"stamford, ct",6h ago
RENOVATED MODERN 2 BEDROOM,2br,2200,brooklyn,6h ago
"Newly Renovated 2 BR,, Heat & Hot Water Incl,, Walk to Subway & Buses!",2br,2150,astoria,6h ago
Massive Luxury 1BD w/ Dining Rm - Tranquil Beekman Pl Location,1br,4430,midtown east,6h ago
MASSIVE 4 BED 2 BATHROOM___IN UNIT LAUNDRY__NO FEE__BUSHWICK,4br,3600,bushwick,6h ago
MASSIVE 4 BEDROOM WITH PARKING! NO FEE,4br,3200,brooklyn,6h ago
FLEX 3 BED 24H DOORMAN BUILDING FIDI NO FEE,3br,4300,financial district,6h ago
Ready to lease! Beautifully designed Apartment apartment,,1709,stamford,6h ago
Great renovated 3bd in beautiful crown heights north,3br,2795,brooklyn,6h ago
LARGE STUDIO FIDI NO FEE,studio,3000,financial district,6h ago
Spacious 1 Bed with Kitchen Island!!,1br,2500,crown heights,6h ago
**STUNNING RENOVATED 4 BED/ 2 BATH APT IN PRIME BUSHWICK*NO FEE**,4br,4125,bushwick,6h ago
Unreal stunning true 2br steps from Times Squre central but quiet!RARE,2br,4250,midtown,6h ago
**Private Backyard!! 2 Bed with Natural Light,2br,2500,brooklyn,6h ago
**Laundry in Unit** Sunny 3 Bed 2 Bath!!,3br,4400,"south slope, brooklyn",6h ago
Modern 1 Bedroom Apartment!!,1br,2400,bushwick,6h ago
Nolita Gem *Renovated* Roof Deck  *Laundry*,1br,2950,nolita / bowery,6h ago
3 BED AVAILABLE IN CROWN HEIGHTS!! **GYM AND FURNISHED ROOFTOP!!**,3br,2850,crown heights,6h ago
**LUXURY 2 BED/ 2 BATH APT WITH AMENITIES ADJACENT TO PROSPECT PARK**,2br,3500,flatbush,6h ago
HUGE 3 BED IN GOWANUS/PARK SLOPE!! **LAUNDRY IN BUILDING**,3br,4200,park slope,6h ago
Nicely redone 3 bed/1 bath residence tons of charm Prime Crown Heights,3br,3100,crown heights,7h ago
Massive 1Bed (can be converted into 2) /2Bath + Terrace in UWS. NO FEE,2br,6495,upper west side,7h ago
Private 2 Room Suite/ Private Bath,1br,1250,somers/katonah,7h ago
MASSIVE 3 BED 2 Bath!! W/D IN UNIT!!,3br,3200,brooklyn,7h ago
W/D IN UNIT! STUNNING DUPLEX/ OUTDOOR SPACE!,4br,3200,flatbush,7h ago
DUPLEX IN PRIME LOCATION!!,3br,3200,clinton hill,7h ago
*******High Rise Apartment For Rent in Forest Hills*****************,2br,2800,forest hills,7h ago
Large Renovated 1BD w/ Spacious Layout - Elegant Prewar Elevator Bldg,1br,3460,murray hill,7h ago
"1BR in Rye - No Fee, By Owner",1br,1900,"rye, ny",7h ago
*Renovated*Large living space*dishwasher*new appliances*,1br,3200,lower east side,7h ago
Three bed Astoria,3br,3300,queens,7h ago
2 bed Astoria,2br,2350,queens,7h ago
GREAT OPPORTUNITY---LUXURY LIVING--NATURAL LIGTH--TRIBECA VIBE,,2850,financial district,7h ago
1 bed Astoria,1br,1900,queens,7h ago
--WATER VIEW APARTMENT--SKY RISE LUXURY BUILDING,,2900,financial district,7h ago
NATURAL LIGHT**WATER VIEWS **NO BROKER FEE**MUST SEE**,,2860,financial district,7h ago
Spacious 3 bed 1 bath apt near Maria Hernedez,3br,3300,bushwick,7h ago
Spacious 1 Bedroom Apartment!! NO FEE Crownheights,1br,2300,crownheights,7h ago
3 Bed 2 Bath GREAT DEAL,3br,2800,bedstuy,7h ago
PET OK*RIVERVIEW*HUGE*MINT COND.*CLOSE TO RR/SHOPS,2br,2800,dobbs ferry,7h ago
2BR Ranch House for Short -Term Rental,2br,2800,stamford,7h ago
3 BED 1 BATH//Dishwasher//Laundry in building//NO FEE!!!,3br,2795,crown heights,7h ago
MASSIVE 4 BED IN BUSHWICK!! SHARED YARD 🌳,4br,3799,brooklyn,7h ago
BRAND NEW 2 Bed 1.5 Bath Laundry in unit NO FEE,2br,3400,bedstuy,7h ago
TOP FLOOR=LARGE CLOSETS=MASSIVE SPACE=BRIGHT=HIGH CEILING=FREE GYM,1br,2890,financial district,7h ago
2 BRs/2 Baths_2 BALCONIES_Elevator_Pet Ok__SUNSET PARK SLOPE GREENWOOD,2br,2750,sunset park @ industry city,7h ago
REMARKABLE CONDO FINISHES=TOP FLOOR=NEW CONSTRUCTION=CITY VIEW,4br,4900,financial district,7h ago
2 BRs/2 Baths_2 BALCONIES_Elevator_Pet Ok____SUNSET PARK INDUSTRY CITY,2br,2750,sunset park @ industry city,7h ago
East Village Gem NO FEE,3br,6000,east village,7h ago
No Fee 3bed/1bath in Stuy Heights,3br,3250,brooklyn,7h ago
No Fee 2bed/1bath $2350,2br,2350,brooklyn,7h ago
NO FEE! Spacious 2 Bed in Prime Location with 1 Month FREE!,2br,3624,brooklyn,7h ago
No Fee - UES Studio with balcony - $2500,studio,2500,upper east side,7h ago
Live the dream life in our gorgeous community! Stop by for a tour!,2br,2890,yonkers,7h ago
*AMAZING* SUNNY 3 BED 1.5 BATH WITH W/D IN UNIT IN PRIME BUSHWICK!,3br,3300,bushwick,7h ago
GORGEOUS 3 BED PROSPECT PARK SOUTH!!,3br,2850,prospect park south,7h ago
BEAUTIFUL 3 BEDROOM!! STEAL DEAL!!,3br,2750,flatbush,7h ago
HOT DEAL!! GORGEOUS 3 BED!!! RENOVATED!!,3br,2795,crown heights,7h ago
STEAL DEAL!!! LARGE STUDIO!!! SMALL BUILDING,studio,1640,stuyvesant heights,7h ago
Room C av for rent - last vacancy,4br,970,inwood / wash hts,8h ago
NO FEE!! Newly Renovated Sleek Studio in Brooklyn!,studio,1911,brooklyn,8h ago
Morris Avenue - Studio Apt - No Fee!  Elevator Building,studio,1295,morris ave (fordham rd area,8h ago
spacious one bedroom available now,1br,1550,yonkers,8h ago
No fee!- Large 2BR in a Central Williamsburg location!- By the Sway!,2br,3300,williamsburg,8h ago
"$2,25o 2Bed 1Bath w/Rooftop+Elevator+Laundry",2br,2,25mins to midtown - new condo building,8h ago
Private House Three Bedroom_Kitchen_Bath_Close to All Transportation,3br,2695,flatbush/flatlands,8h ago
42nd st sun drenched 1BR river views of New Jerse,1br,4900,midtown west,8h ago
HUGE 4 BED 1.5 BATH IN CROWN HEIGHTS! SPACIOUS ROOMS W/ LOTS OF LIGHT,4br,2700,crown heights,8h ago
MASSIVE 4 BED 1 BATH DUPLEX IN SWEET BUSHWICK LOCATION! NO BROKERS FEE,4br,3200,bushwick,8h ago
MASSIVE 2 BED 1 BATH W/ PRIVATE YARD IN OCEAN HILL! NO BROKER’S FEE,2br,2400,ocean hill,8h ago
